"Year ending
 31st March",Month,Telephones - Public,Telephones - Private,Telephones - Total,Additions - Public,Additions - Private,Share% age - Public,Share% age - Private,% age Growth - Public,% age Growth - Private
2009-10,April,90429596,351045586,441475182,883213,10866788,20.48,79.52,0.99,3.19
2009-10,May,90701937,362209228,452911165,272341,11163642,20.03,79.97,0.3,3.18
2009-10,June,91315156,373510182,464825338,613219,11300954,19.65,80.35,0.68,3.12
2009-10,July,92772794,386298111,479070905,1457638,12787929,19.37,80.63,1.6,3.42
2009-10,August,93992411,400077487,494069898,1219617,13779376,19.02,80.98,1.31,3.57
2009-10,September,95398162,413634377,509032539,1405751,13556890,18.74,81.26,1.5,3.39
2009-10,October,96015257,429643401,525658658,617095,16009024,18.27,81.73,0.65,3.87
2009-10,November,97311180,445888563,543199743,1295923,16245162,17.91,82.09,1.35,3.78
2009-10,December,99323680,462887754,562211434,2012500,16999191,17.67,82.33,2.07,3.81
2009-10,January,101496579,480545335,582041914,2172899,17657581,17.44,82.56,2.19,3.81
2009-10,February,103147329,497876672,601024001,1650750,17331337,17.16,82.84,1.63,3.61
2009-10,March,105871342,515408744,621280086,2724013,17532072,17.04,82.96,2.64,3.52
2010-11,April,106922870,531126923,638049793,1051528,15718179,16.76,83.24,0.99,3.05
2010-11,May,107535612,546379562,653915174,612742,15252639,16.44,83.56,0.57,2.87
2010-11,June,108331048,563354245,671685293,795436,16974683,16.13,83.87,0.74,3.11
2010-11,July,109195872,579180767,688376639,864824,15826522,15.86,84.14,0.8,2.81
2010-11,August,111260803,595124302,706385105,2064931,15943535,15.75,84.25,1.89,2.75
2010-11,September,113331431,609954514,723285945,2070628,14830212,15.67,84.33,1.86,2.49
2010-11,October,115604374,626525456,742129830,2272943,16570942,15.58,84.42,2.01,2.72
2010-11,November,118363170,646404399,764767569,2758796,19878943,15.48,84.52,2.39,3.17
2010-11,December,121229345,666060750,787290095,2866175,19656351,15.4,84.6,2.42,3.04
2010-11,January'11,123197386,682938250,806135636,1968041,16877500,15.28,84.72,1.62,2.53
2010-11,February'11,124606687,701649363,826256050,1409301,18711113,15.08,84.92,1.14,2.74
2010-11,March'11,126002144,720326022,846328166,1395457,18676659,14.89,85.11,1.12,2.66
2011-12,April,125983819,735520553,861504372,-18325,15194531,14.62,85.38,-0.01,2.11
2011-12,May,126646415,748047245,874693660,662596,12526692,14.48,85.52,0.53,1.7
2011-12,June,127401648,758595661,885997309,755233,10548416,14.38,85.62,0.6,1.41
2011-12,July,128709147,763848107,892557254,1307499,5252446,14.42,85.58,1.03,0.69
2011-12,August,128872936,770912684,899785620,163789,7064577,14.32,85.68,0.13,0.92
2011-12,September,128508171,778427162,906935333,-364765,7514478,14.17,85.83,-0.28,0.97
2011-12,October,128808647,785791799,914600446,300476,7364637,14.08,85.92,0.23,0.95
2011-12,November,128866270,788918893,917785163,57623,3127094,14.04,85.96,0.04,0.4
2011-12,December,128917150,797630539,926547689,50880,8711646,13.91,86.09,0.04,1.1
2011-12,January'12,129590938,806537493,936128431,673788,8906954,13.84,86.16,0.52,1.12
2011-12,February'12,129639512,813863851,943503363,48574,7326358,13.74,86.26,0.04,0.91
2011-12,March'12,130270847,821075159,951346006,631335,7211308,13.69,86.31,0.49,0.89
2012-13,April,129166366,823747586,952913952,-1104481,2672427,13.55,86.45,-0.85,0.33
2012-13,May,128545611,832355224,960900835,-620755,8607638,13.38,86.62,-0.48,1.04
2012-13,June,129011414,836512431,965523845,465803,4157207,13.36,86.64,0.36,0.5
2012-13,July,129233057,815582158,944815215,221643,-20930273,13.68,86.32,0.17,-2.5
2012-13,August,129493751,810075112,939568863,260694,-5507046,13.78,86.22,0.2,-0.68
2012-13,September,129743992,807957331,937701323,250241,-2117781,13.84,86.16,0.19,-0.26
2012-13,October,129967331,805210947,935178278,223339,-2746384,13.9,86.1,0.17,-0.34
2012-13,November,129803512,791671212,921474724,-163819,-13539735,14.09,85.91,-0.13,-1.68
2012-13,December,129720872,765786754,895507626,-82640,-25884458,14.49,85.51,-0.06,-3.27
2012-13,January'13,129654171,763492545,893146716,-66701,-2294209,14.52,85.48,-0.05,-0.3
2012-13,February'13,129814740,762200340,892015080,160569,-1292205,14.55,85.45,0.12,-0.17
2012-13,March'13,130112087,767906662,898018749,297347,5706322,14.49,85.51,0.23,0.75
2013-14,April,127586261,769430188,897016449,-2525826,1523525.999,14.22,85.78,-1.94,0.2
2013-14,May,126434647,773620217,900054864,-1151614,4190029.001,14.05,85.95,-0.9,0.54
2013-14,June,125941899,777161696,903103595,-492748,3541479,13.95,86.05,-0.39,0.46
2013-14,July,125592546,778869627,904462173,-349353,1707931,13.89,86.11,-0.28,0.22
2013-14,August,125023349,781160322,906183671,-569197,2290695,13.8,86.2,-0.45,0.29
2013-14,September,124510575,775360274,899870849,-512774,-5800048,13.84,86.16,-0.41,-0.74
2013-14,October,124161223,780408385,904569608,-349352,5048111,13.73,86.27,-0.28,0.65
2013-14,November,124511333,785635352,910146685,350110,5226967,13.68,86.32,0.28,0.67
2013-14,December,122359564,792838929,915198493,-2151769,7203577,13.37,86.63,-1.73,0.92
2013-14,January'14,120504639,801530712,922035351,-1854925,8691783,13.07,86.93,-1.52,1.1
2013-14,February'14,120491006,811468121,931959127,-13633,9937409,12.93,87.07,-0.01,1.24
2013-14,March'14,120052003,812963135,933015138,-439003,1495014,12.87,87.13,-0.36,0.18
2014-15,April,118468197,817344261,935812458,-1583806,4381126,12.66,87.34,-1.32,0.54
2014-15,May,116722327,821626400,938348727,-1745870,4282139,12.44,87.56,-1.47,0.52
2014-15,June,114431840,828560735,942992575,-2290487,6934335,12.13,87.87,-1.96,0.84
2014-15,July,112674756,833773482,946448238,-1757084,5212747,11.91,88.09,-1.54,0.63
2014-15,August,112023063,839860273,951883336,-651693,6086791,11.77,88.23,-0.58,0.73
2014-15,September,111051100,846895541,957946641,-971963,7035268,11.59,88.41,-0.87,0.84
2014-15,October,109204001,853463375,962667376,-1847099,6567834,11.34,88.66,-1.66,0.78
2014-15,November,106773014,857466110,964239124,-2430987,4002735,11.07,88.93,-2.23,0.47
2014-15,December,105324973,865683809,971008782,-1448041,8217699,10.85,89.15,-1.36,0.96
2014-15,January'15,103979427,875139899,979119326,-1345546,9456090,10.62,89.38,-1.28,1.09
2014-15,February'15,101282022,886058291,987340313,-2697405,10918392,10.26,89.74,-2.59,1.25
