country_code,country_name,original_word_count,processed_word_count_with_stopwords,processed_word_count_without_stopwords,stopwords_removed,stopwords_percentage,unique_words,lexical_diversity
ad_anthem,ad_anthem,617,365,258,107,29.315068493150687,95,0.3682170542635659
ae_anthem,ae_anthem,1105,652,494,158,24.233128834355828,139,0.2813765182186235
am_anthem,am_anthem,1111,639,454,185,28.951486697965574,125,0.2753303964757709
ao_anthem,ao_anthem,1020,629,457,172,27.344992050874406,121,0.2647702407002188
ar_anthem,ar_anthem,1267,735,549,186,25.30612244897959,147,0.2677595628415301
au_anthem,au_anthem,494,309,211,98,31.715210355987054,127,0.6018957345971564
az_anthem,az_anthem,701,409,298,111,27.139364303178482,87,0.29194630872483224
ba_anthem,ba_anthem,273,171,117,54,31.57894736842105,88,0.7521367521367521
bd_anthem,bd_anthem,781,421,303,118,28.028503562945367,110,0.36303630363036304
be_anthem,be_anthem,1079,648,432,216,33.33333333333333,131,0.30324074074074076
bf_anthem,bf_anthem,1463,952,651,301,31.61764705882353,194,0.2980030721966206
bg_anthem,bg_anthem,727,438,316,122,27.85388127853881,105,0.3322784810126582
bh_anthem,bh_anthem,506,273,206,67,24.54212454212454,58,0.2815533980582524
bi_anthem,bi_anthem,833,527,362,165,31.309297912713475,112,0.30939226519337015
bj_anthem,bj_anthem,947,581,417,164,28.227194492254732,131,0.31414868105515587
bo_anthem,bo_anthem,1353,848,640,208,24.528301886792452,160,0.25
br_anthem,br_anthem,1738,1059,702,357,33.711048158640224,199,0.28347578347578345
bs_anthem,bs_anthem,69,41,33,8,19.51219512195122,26,0.7878787878787878
bw_anthem,bw_anthem,428,211,176,35,16.587677725118482,57,0.32386363636363635
by_anthem,by_anthem,1404,788,589,199,25.253807106598984,177,0.300509337860781
cf_anthem,cf_anthem,650,382,267,115,30.104712041884817,81,0.30337078651685395
cg_anthem,cg_anthem,1029,601,420,181,30.116472545757073,126,0.3
ch_anthem,ch_anthem,497,321,218,103,32.087227414330215,149,0.6834862385321101
ci_anthem,ci_anthem,508,287,239,48,16.72473867595819,81,0.3389121338912134
cl_anthem,cl_anthem,1433,904,618,286,31.63716814159292,163,0.26375404530744334
cm_anthem,cm_anthem,949,579,419,160,27.63385146804836,128,0.3054892601431981
cn_anthem,cn_anthem,1329,733,541,192,26.193724420190996,146,0.2698706099815157
co_anthem,co_anthem,1984,1136,852,284,25.0,271,0.318075117370892
cr_anthem,cr_anthem,1016,637,474,163,25.588697017268448,135,0.2848101265822785
cv_anthem,cv_anthem,591,349,258,91,26.07449856733524,86,0.3333333333333333
cy_anthem,cy_anthem,267,177,123,54,30.508474576271187,85,0.6910569105691057
cz_anthem,cz_anthem,592,337,250,87,25.816023738872403,81,0.324
dj_anthem,dj_anthem,421,236,159,77,32.6271186440678,55,0.34591194968553457
do_anthem,do_anthem,1904,1125,803,322,28.62222222222222,246,0.30635118306351183
dz_anthem,dz_anthem,1386,781,499,282,36.107554417413574,149,0.2985971943887776
ec_anthem,ec_anthem,927,569,385,184,32.33743409490334,126,0.32727272727272727
ee_anthem,ee_anthem,812,459,312,147,32.02614379084967,106,0.33974358974358976
eg_anthem,eg_anthem,997,554,407,147,26.534296028880867,121,0.2972972972972973
er_anthem,er_anthem,544,276,216,60,21.73913043478261,69,0.3194444444444444
et_anthem,et_anthem,599,322,251,71,22.049689440993788,90,0.35856573705179284
fi_anthem,fi_anthem,1260,751,532,219,29.161118508655125,139,0.26127819548872183
fj_anthem,fj_anthem,813,537,390,147,27.37430167597765,114,0.2923076923076923
fr_anthem,fr_anthem,3280,2180,1407,773,35.45871559633028,398,0.2828713574982232
ga_anthem,ga_anthem,869,508,370,138,27.165354330708663,115,0.3108108108108108
gb_anthem,gb_anthem,659,422,284,138,32.70142180094787,183,0.6443661971830986
gd_anthem,gd_anthem,175,119,87,32,26.89075630252101,60,0.6896551724137931
gh_anthem,gh_anthem,77,52,37,15,28.846153846153843,32,0.8648648648648649
gm_anthem,gm_anthem,63,44,33,11,25.0,29,0.8787878787878788
gq_anthem,gq_anthem,546,327,253,74,22.629969418960243,71,0.28063241106719367
gr_anthem,gr_anthem,259,179,116,63,35.19553072625698,80,0.6896551724137931
gt_anthem,gt_anthem,2043,1349,888,461,34.173461823573014,257,0.2894144144144144
gw_anthem,gw_anthem,872,531,364,167,31.45009416195857,117,0.32142857142857145
hn_anthem,hn_anthem,2576,1560,1069,491,31.474358974358974,299,0.27970065481758655
hr_anthem,hr_anthem,920,516,381,135,26.16279069767442,128,0.3359580052493438
ht_anthem,ht_anthem,1255,736,472,264,35.869565217391305,77,0.163135593220339
hu_anthem,hu_anthem,2040,1335,866,469,35.1310861423221,248,0.2863741339491917
ie_anthem,ie_anthem,292,183,132,51,27.86885245901639,98,0.7424242424242424
il_anthem,il_anthem,1161,666,487,179,26.876876876876878,151,0.31006160164271046
in_anthem,in_anthem,983,587,433,154,26.2350936967632,125,0.28868360277136257
ir_anthem,ir_anthem,797,475,341,134,28.210526315789476,119,0.3489736070381232
