country_code,country_name,url,verses,translation
dz,Algeria,https://nationalanthems.info/dz.htm,17,"The words to “Qassaman” were written in 1956 in Serkaji-Barberousse Prison in Algiers, where the author Moufdi Zakaria was incarcerated by the French colonial forces. The poem was put into music, first by Mohamed Triki in 1956, then by the Egyptian composer Mohamed Fawzi and became the national anthem upon independence on July 5th, 1962. The anti-French sentiments of the third verse result in this verse occasionally being left out of performances, however the verse remains an official part of the text.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

Title
“قسما” (Arabic (Arabic script))
“Kassaman” (Arabic (Romanization))
“We Pledge” (English translation)

“قسما” (Arabic (Arabic script))
“Kassaman” (Arabic (Romanization))
“We Pledge” (English translation)

Lyricist
مفدي زكرياء (Mufdi Zakariah)

مفدي زكرياء (Mufdi Zakariah)

Composer
محمد فوزي (Mohamed Fawzi)

محمد فوزي (Mohamed Fawzi)

Sheet Music
Music with Arabic lyrics (Romanization) (Page 1, Page 2)

Music with Arabic lyrics (Romanization) (Page 1, Page 2)

Lyrics
Arabic lyrics (Arabic script)











































Arabic lyrics (Romanization)






































English translation
1. We swear by the lightning that destroys,
By the streams of generous blood being shed,
By the bright flags that wave,
Flying proudly on the high djebels,
That we are in revolt, whether to live or to die,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

2. We are soldiers in revolt for truth
And we have fought for our independence.
When we spoke, nobody listened to us,
So we have taken the noise of gunpowder as our rhythm
And the sound of machine guns as our melody,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

3. O France, the time of reproof is over
And we have ended it as a book is ended;
O France, this is the day of reckoning
So prepare to receive from us our answer!
In our revolution is the end of empty talk;
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

4. From our heroes we shall make an army come to being,
From our dead we shall build up a glory,
Our spirits shall ascend to immortality
And on our shoulders we shall raise the Standard.
To the nation’s Liberation Front we have sworn an oath,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

5. The cry of the Fatherland sounds from the battlefields.
Listen to it and answer the call!
Let it be written with the blood of martyrs
And be read to future generations.
Oh, Glory, we have held out our hand to you,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

Arabic lyrics (Arabic script)











































Arabic lyrics (Romanization)






































English translation
1. We swear by the lightning that destroys,
By the streams of generous blood being shed,
By the bright flags that wave,
Flying proudly on the high djebels,
That we are in revolt, whether to live or to die,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

2. We are soldiers in revolt for truth
And we have fought for our independence.
When we spoke, nobody listened to us,
So we have taken the noise of gunpowder as our rhythm
And the sound of machine guns as our melody,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

3. O France, the time of reproof is over
And we have ended it as a book is ended;
O France, this is the day of reckoning
So prepare to receive from us our answer!
In our revolution is the end of empty talk;
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

4. From our heroes we shall make an army come to being,
From our dead we shall build up a glory,
Our spirits shall ascend to immortality
And on our shoulders we shall raise the Standard.
To the nation’s Liberation Front we have sworn an oath,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

5. The cry of the Fatherland sounds from the battlefields.
Listen to it and answer the call!
Let it be written with the blood of martyrs
And be read to future generations.
Oh, Glory, we have held out our hand to you,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

Arabic lyrics (Arabic script)

Arabic lyrics (Romanization)

We swear by the lightning that destroys,
By the streams of generous blood being shed,
By the bright flags that wave,
Flying proudly on the high djebels,
That we are in revolt, whether to live or to die,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

2. We are soldiers in revolt for truth
And we have fought for our independence.
When we spoke, nobody listened to us,
So we have taken the noise of gunpowder as our rhythm
And the sound of machine guns as our melody,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

3. O France, the time of reproof is over
And we have ended it as a book is ended;
O France, this is the day of reckoning
So prepare to receive from us our answer!
In our revolution is the end of empty talk;
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

4. From our heroes we shall make an army come to being,
From our dead we shall build up a glory,
Our spirits shall ascend to immortality
And on our shoulders we shall raise the Standard.
To the nation’s Liberation Front we have sworn an oath,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

5. The cry of the Fatherland sounds from the battlefields.
Listen to it and answer the call!
Let it be written with the blood of martyrs
And be read to future generations.
Oh, Glory, we have held out our hand to you,
We are determined that Algeria should live,
So be our witness -be our witness -be our witness!

Toggle website search"
ad,Andorra,https://nationalanthems.info/ad.htm,16,"“El Gran Carlemany” presents the nation’s history in a first-person narrative. The anthem was officially adopted on September 8, 1921, the anniversary date of the feast of Our Lady of Meritxell (the Virgin Mary), the patron saint of Andorra.

Despite the anthem having been written just before the official change in Catalan orthography, the lyrics using the old orthography are still official in Andorra and in active use.

Special thanks to: John Felix and Patrick Andries for a slight correction in this information, and Keith Terrett for the music file.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

“El Gran Carlemany” presents the nation’s history in a first-person narrative. The anthem was officially adopted on September 8, 1921, the anniversary date of the feast of Our Lady of Meritxell (the Virgin Mary), the patron saint of Andorra.
Despite the anthem having been written just before the official change in Catalan orthography, the lyrics using the old orthography are still official in Andorra and in active use.
Special thanks to: John Felix and Patrick Andries for a slight correction in this information, and Keith Terrett for the music file.

Title
“El Gran Carlemany” (Catalan)
“The Great Charlemagne” (English translation)

“El Gran Carlemany” (Catalan)
“The Great Charlemagne” (English translation)

Lyricist
Joan Benlloch i Vivó

Composer
Enric Marfany Bons

Adopted
September 8, 1921

Sheet Music
Music only

Lyrics
Catalan lyrics






English translation
The great Charlemagne, my Father, liberated me from the Saracens,
And from heaven he gave me life of Meritxell the great Mother.
I was born a Princess, a Maiden neutral between two nations.
I am the only remaining daughter of the Carolingian empire
Believing and free for eleven centuries, believing and free I will be.
The laws of the land be my tutors, and my defender Princes!
And Princes my defender!

Catalan lyrics






English translation
The great Charlemagne, my Father, liberated me from the Saracens,
And from heaven he gave me life of Meritxell the great Mother.
I was born a Princess, a Maiden neutral between two nations.
I am the only remaining daughter of the Carolingian empire
Believing and free for eleven centuries, believing and free I will be.
The laws of the land be my tutors, and my defender Princes!
And Princes my defender!

The great Charlemagne, my Father, liberated me from the Saracens,
And from heaven he gave me life of Meritxell the great Mother.
I was born a Princess, a Maiden neutral between two nations.
I am the only remaining daughter of the Carolingian empire
Believing and free for eleven centuries, believing and free I will be.
The laws of the land be my tutors, and my defender Princes!
And Princes my defender!

Toggle website search"
ao,Angola,https://nationalanthems.info/ao.htm,18,"During Portuguese rule, starting in 1961, Angola had an unofficial local anthem, entitled “Angola é nossa” (“Angola is ours”), used as a march by the Portuguese troops in Angola, it was not performed after independence negotiations were started in 1974, and a different anthem, “Angola Avante” was adopted upon independence from Portugal.

There has been a commission appointed to study any possible changes needed in Angola’s national symbols (there are references in the national anthem to important dates and events for the previous sole ruling party, made obsolete after multi-party elections were declared). The anthem may change in the future, watch this page for further information.

Special thanks to: Jan Scotland and J. J. Dias Marques for some of this information and Jo Hyo-roe for the sheet music.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

During Portuguese rule, starting in 1961, Angola had an unofficial local anthem, entitled “Angola é nossa” (“Angola is ours”), used as a march by the Portuguese troops in Angola, it was not performed after independence negotiations were started in 1974, and a different anthem, “Angola Avante” was adopted upon independence from Portugal.
There has been a commission appointed to study any possible changes needed in Angola’s national symbols (there are references in the national anthem to important dates and events for the previous sole ruling party, made obsolete after multi-party elections were declared). The anthem may change in the future, watch this page for further information.
Special thanks to: Jan Scotland and J. J. Dias Marques for some of this information and Jo Hyo-roe for the sheet music.

Title
“Angola Avante” (Portuguese)
“Forward Angola” (English translation)

“Angola Avante” (Portuguese)
“Forward Angola” (English translation)

Lyricist
Manuel Rui Alves Monteiro

Manuel Rui Alves Monteiro

Composer
Rui Alberto Vieira Dias Minga

Rui Alberto Vieira Dias Minga

Sheet Music
Music with Portuguese lyrics

Music with Portuguese lyrics

Lyrics
Portuguese lyrics




























English translation
1. O Fatherland, we shall never forget
The heroes of the Fourth of February.
O Fatherland, we salute your sons
Who died for our Independence.
We honour the past and our history
As by our work we build the New Man.
We honour the past and our history
As by our work we build the New Man.

CHORUS:
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!

2. Let us raise our liberated voices
To the glory of the peoples of Africa.
We shall march, Angolan fighters,
In solidarity with oppressed peoples.
We shall fight proudly for Peace
Along with the progressive forces of the world.
We shall fight proudly for Peace
Along with the progressive forces of the world.

Chorus

Portuguese lyrics




























English translation
1. O Fatherland, we shall never forget
The heroes of the Fourth of February.
O Fatherland, we salute your sons
Who died for our Independence.
We honour the past and our history
As by our work we build the New Man.
We honour the past and our history
As by our work we build the New Man.

CHORUS:
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!

2. Let us raise our liberated voices
To the glory of the peoples of Africa.
We shall march, Angolan fighters,
In solidarity with oppressed peoples.
We shall fight proudly for Peace
Along with the progressive forces of the world.
We shall fight proudly for Peace
Along with the progressive forces of the world.

Chorus

O Fatherland, we shall never forget
The heroes of the Fourth of February.
O Fatherland, we salute your sons
Who died for our Independence.
We honour the past and our history
As by our work we build the New Man.
We honour the past and our history
As by our work we build the New Man.

CHORUS:
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!
Forward, Angola!
Revolution through the power of the People!
A United Country, Freedom,
One People, one Nation!

2. Let us raise our liberated voices
To the glory of the peoples of Africa.
We shall march, Angolan fighters,
In solidarity with oppressed peoples.
We shall fight proudly for Peace
Along with the progressive forces of the world.
We shall fight proudly for Peace
Along with the progressive forces of the world.

Chorus

Toggle website search"
ar,Argentina,https://nationalanthems.info/ar.htm,17,"In 1812, Vicente López attended a play about the revolution that brought the country independence two years earlier, the play concluded with an anthem sung by the actors. López was inspired to write a proper anthem for the nation instead of the one presented in the play, and it was approved by the government. The composer of the music used in the play, Blas Parera, was asked to compose the music for the anthem despite Parera’s objections due to the anti-Spanish lyrics and himself being a Spaniard. The stately nature of the music, combined with its long length, make it similar in style to other anthems of the area, a group of anthems I term “Latin American epic anthems”.

The anthem also has had many titles; originally called the “Anthem of May” by López, it was then christened the “Marcha Patriótica” (Patriotic March) by the government on its adoption on May 11, 1813 (the third anniversary of the revolution) and was later known as “Canción Patriótica Nacional” (National Patriotic Song). An 1847 copy titles it “Himno Nacional Argentino”, which is the name it is known by today.

In the following years, the anthem underwent many modifications to tone down the militaristic and anti-Spanish nature of the song. In a presidential decree in 1900, it was declared that the first and last verses of the anthem as adopted on March 11, 1813 (rather than the full original nine verses), would be the official anthem, which remains to this day.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

In 1812, Vicente López attended a play about the revolution that brought the country independence two years earlier, the play concluded with an anthem sung by the actors. López was inspired to write a proper anthem for the nation instead of the one presented in the play, and it was approved by the government. The composer of the music used in the play, Blas Parera, was asked to compose the music for the anthem despite Parera’s objections due to the anti-Spanish lyrics and himself being a Spaniard. The stately nature of the music, combined with its long length, make it similar in style to other anthems of the area, a group of anthems I term “Latin American epic anthems”.
The anthem also has had many titles; originally called the “Anthem of May” by López, it was then christened the “Marcha Patriótica” (Patriotic March) by the government on its adoption on May 11, 1813 (the third anniversary of the revolution) and was later known as “Canción Patriótica Nacional” (National Patriotic Song). An 1847 copy titles it “Himno Nacional Argentino”, which is the name it is known by today.
In the following years, the anthem underwent many modifications to tone down the militaristic and anti-Spanish nature of the song. In a presidential decree in 1900, it was declared that the first and last verses of the anthem as adopted on March 11, 1813 (rather than the full original nine verses), would be the official anthem, which remains to this day.

Title
“Himno Nacional Argentino” (Spanish)
“Argentine National Anthem” (English translation)

“Himno Nacional Argentino” (Spanish)
“Argentine National Anthem” (English translation)

Lyricist
Vicente López y Planes

Vicente López y Planes

Composer
José Blas Parera

Sheet Music
Music with Spanish lyrics (Page 1, Page 2, Page 3, Page 4, Page 5)

Music with Spanish lyrics (Page 1, Page 2, Page 3, Page 4, Page 5)

Lyrics
Spanish lyrics





















English translation
Hear, mortals, the sacred cry:
“Freedom! Freedom! Freedom!”
Hear the noise of broken chains,
see the noble Equality enthroned.
Their most honorable throne have opened
the United Provinces of the South.
And the free ones of the world reply:
“To the Argentine people, cheers!”
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”

CHORUS:
May the laurels be eternal
the ones we managed to win,
the ones we managed to win.
Let us live crowned in glory…
or let us swear in glory to die!
Or let us swear in glory to die!
Or let us swear in glory to die!

Spanish lyrics





















English translation
Hear, mortals, the sacred cry:
“Freedom! Freedom! Freedom!”
Hear the noise of broken chains,
see the noble Equality enthroned.
Their most honorable throne have opened
the United Provinces of the South.
And the free ones of the world reply:
“To the Argentine people, cheers!”
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”

CHORUS:
May the laurels be eternal
the ones we managed to win,
the ones we managed to win.
Let us live crowned in glory…
or let us swear in glory to die!
Or let us swear in glory to die!
Or let us swear in glory to die!

Hear, mortals, the sacred cry:
“Freedom! Freedom! Freedom!”
Hear the noise of broken chains,
see the noble Equality enthroned.
Their most honorable throne have opened
the United Provinces of the South.
And the free ones of the world reply:
“To the Argentine people, cheers!”
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”
And the free ones of the world reply:
“To the Argentine people, cheers!”

CHORUS:
May the laurels be eternal
the ones we managed to win,
the ones we managed to win.
Let us live crowned in glory…
or let us swear in glory to die!
Or let us swear in glory to die!
Or let us swear in glory to die!

Toggle website search"
am,Armenia,https://nationalanthems.info/am.htm,19,"The words to “Mer Hayrenik”, taken from a poem by Mikael Nalbandian, were set to music long before Armenia adopted it as her anthem upon regaining her independence from the Soviet Union in 1991. The present anthem is a modified version of a poem called “Song of an Italian Girl”, which consisted of six stanzas. Some of the words have also been changed appropriately to reflect the freedom and independence of the country. The anthem melody was found to date from the 19th century in what is now Istanbul, Turkey as a vocal exercise for singers.

In 2006, a search was sent out for a new national anthem, as the criticisms against “Mer Hayrenik” was that it was only meant as a temporary anthem, was not composed by an Armenian, and does not reflect modern Armenia. One of the five proposed candidates is the melody (but not the lyrics) of the anthem of Soviet Armenia.

Special thanks to: Klaus Caussmacher for the sheet music.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

The words to “Mer Hayrenik”, taken from a poem by Mikael Nalbandian, were set to music long before Armenia adopted it as her anthem upon regaining her independence from the Soviet Union in 1991. The present anthem is a modified version of a poem called “Song of an Italian Girl”, which consisted of six stanzas. Some of the words have also been changed appropriately to reflect the freedom and independence of the country. The anthem melody was found to date from the 19th century in what is now Istanbul, Turkey as a vocal exercise for singers.
In 2006, a search was sent out for a new national anthem, as the criticisms against “Mer Hayrenik” was that it was only meant as a temporary anthem, was not composed by an Armenian, and does not reflect modern Armenia. One of the five proposed candidates is the melody (but not the lyrics) of the anthem of Soviet Armenia.
Special thanks to: Klaus Caussmacher for the sheet music.

Title
“Մեր Հայրենիք” (Armenian (Armenian script)
“Mer Hayrenik” (Armenian (Romanization)
“Our Fatherland” (English translation)

“Մեր Հայրենիք” (Armenian (Armenian script)
“Mer Hayrenik” (Armenian (Romanization)
“Our Fatherland” (English translation)

Lyricist
Միքայել Նալբանդյան (Mikael Nalbandian)

Միքայել Նալբանդյան (Mikael Nalbandian)

Composer
Բարսեղ Կանաչյան (Barsegh Kanachyan)

Բարսեղ Կանաչյան (Barsegh Kanachyan)

Sheet Music
Music only

Lyrics
Armenian lyrics (Armenian script)


























Armenian lyrics (Romanization)


























English translation
1. Land of our fathers, free, independent,
Which has endured from age to age.
Its sons and daughters now proclaim
Armenia, sovereign and free.
Its sons and daughters now proclaim
Armenia, sovereign and free.

2. Brother, take this banner,
Made with my own hands,
During sleepless nights,
And bathed in my tears.
During sleepless nights,
And bathed in my tears.

3. See, it has three colours;
A single hallowed symbol.
May it sparkle before the foe,
May Armenia flourish ever!
May it sparkle before the foe,
May Armenia flourish ever!

4. Death is everywhere the same,
Man is born just once to die,
But blest is he who gives his life
To defend his nation’s freedom.
But blest is he who gives his life
To defend his nation’s freedom.

Armenian lyrics (Armenian script)


























Armenian lyrics (Romanization)


























English translation
1. Land of our fathers, free, independent,
Which has endured from age to age.
Its sons and daughters now proclaim
Armenia, sovereign and free.
Its sons and daughters now proclaim
Armenia, sovereign and free.

2. Brother, take this banner,
Made with my own hands,
During sleepless nights,
And bathed in my tears.
During sleepless nights,
And bathed in my tears.

3. See, it has three colours;
A single hallowed symbol.
May it sparkle before the foe,
May Armenia flourish ever!
May it sparkle before the foe,
May Armenia flourish ever!

4. Death is everywhere the same,
Man is born just once to die,
But blest is he who gives his life
To defend his nation’s freedom.
But blest is he who gives his life
To defend his nation’s freedom.

Armenian lyrics (Armenian script)

Armenian lyrics (Romanization)

Land of our fathers, free, independent,
Which has endured from age to age.
Its sons and daughters now proclaim
Armenia, sovereign and free.
Its sons and daughters now proclaim
Armenia, sovereign and free.

2. Brother, take this banner,
Made with my own hands,
During sleepless nights,
And bathed in my tears.
During sleepless nights,
And bathed in my tears.

3. See, it has three colours;
A single hallowed symbol.
May it sparkle before the foe,
May Armenia flourish ever!
May it sparkle before the foe,
May Armenia flourish ever!

4. Death is everywhere the same,
Man is born just once to die,
But blest is he who gives his life
To defend his nation’s freedom.
But blest is he who gives his life
To defend his nation’s freedom.

Toggle website search"
au,Australia,https://nationalanthems.info/au.htm,5,"A prolific composer, Scottish-born Peter Dodds McCormick was moved to compose a national anthem for Australia when, having attended a concert of the world’s anthems, there was no anthem for Australia. His original lyrics heavily emphasized Australia’s ties to Britain (as Australia was a British colony at the time). Upon Australia’s inauguration as a separate Commonwealth on January 1, 1901, the song was performed, but the British “God Save the Queen” (as the work was then titled) was still the official anthem of Australia. At this time, the third verse of McCormick’s original work was changed.

While “Advance Australia Fair” remained popular with the people in the decades following, no official national anthem other than “God Save the Queen” was declared. In 1974 the Australian Bureau of Statistics conducted a national opinion poll of 60,000 and in 1977 a plebiscite for a national song was conducted. On each occasion, Advance Australia Fair was the preferred option (the other choices were the existing anthem “God Save the Queen” and the popular national songs “Song of Australia” (whose melody was later used for Bougainville‘s anthem) and “Waltzing Matilda”), and it was in consideration of such support that Advance Australia Fair was proclaimed as the national anthem by the Governor-General on 19 April 1984.

In the late 2010s, there was talk in Australia as to how to change the anthem to recognize the indigenous population of Australia in the anthem, at particular concern was the line “for we are young and free”, which implies a young nation from the perspective of the British colonists that have had a presence in Australia since 1788, and not from the perspective of the indigenous people, which have been in Australia for tens of thousands of years. In late 2020, it was proposed to change the phrase to “for we are one and free” and on January 1, 2021, it was officially changed.

From the original five-verse song, only the first and third verses are the official national anthem, with slight changes to make the song more gender-inclusive. The Governor-General of Australia (as the representative of the monarch) is greeted with an abbreviated version of the anthem consisting of the first four bars followed by the last four bars. (The King, as monarch of Australia, continues to use his royal anthem “God Save the King”.)

Special thanks to: Leonie Payne and John Farrell for some of this information."
az,Azerbaijan,https://nationalanthems.info/az.htm,13,"First adopted as Azerbaijan’s anthem in 1919, a contest for a new national anthem was declared the following year, but a Russian invasion, ending Azerbaijan’s brief independence, ended that. On May 27, 1992, after the breakup of the Soviet Union, the “Azerbaijan Marsi,” was re-adopted as the anthem of Azerbaijan. The composer of the anthem was the same person that composed the music to the anthem used by the Azerbaijan SSR.

Special thanks to: Josh Lim for some of this information.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

First adopted as Azerbaijan’s anthem in 1919, a contest for a new national anthem was declared the following year, but a Russian invasion, ending Azerbaijan’s brief independence, ended that. On May 27, 1992, after the breakup of the Soviet Union, the “Azerbaijan Marsi,” was re-adopted as the anthem of Azerbaijan. The composer of the anthem was the same person that composed the music to the anthem used by the Azerbaijan SSR.
Special thanks to: Josh Lim for some of this information.

Title
“Azərbaycan Marşı” (Azerbaijani)
“March of Azerbaijan (English translation)

“Azərbaycan Marşı” (Azerbaijani)
“March of Azerbaijan (English translation)

Composer
Uzeyir Hajibeyov

Sheet Music
Music only (PDF)

Lyrics
Azerbaijani lyrics




















English translation
Azerbaijan! Azerbaijan!
O Great Land, your children are heroes.
We are ready to be martyred for you.
We are ready to shed blood for you.
Three-coloured flag, flourish honourably!
Three-coloured flag, flourish honourably!
Thousands of lives have been sacrificed.
Your bosom has become a battlefield.
Every devoted soldier
Has become a hero.
You are prospering.
My life is always dedicated to you.
My love for you is embedded in my heart
A thousand and one times.
To preserve everything
And to honour her flag
All the youth are willing.
Great Land! Great Land!
Azerbaijan! Azerbaijan!
Azerbaijan! Azerbaijan!

Azerbaijani lyrics




















English translation
Azerbaijan! Azerbaijan!
O Great Land, your children are heroes.
We are ready to be martyred for you.
We are ready to shed blood for you.
Three-coloured flag, flourish honourably!
Three-coloured flag, flourish honourably!
Thousands of lives have been sacrificed.
Your bosom has become a battlefield.
Every devoted soldier
Has become a hero.
You are prospering.
My life is always dedicated to you.
My love for you is embedded in my heart
A thousand and one times.
To preserve everything
And to honour her flag
All the youth are willing.
Great Land! Great Land!
Azerbaijan! Azerbaijan!
Azerbaijan! Azerbaijan!

Azerbaijan! Azerbaijan!
O Great Land, your children are heroes.
We are ready to be martyred for you.
We are ready to shed blood for you.
Three-coloured flag, flourish honourably!
Three-coloured flag, flourish honourably!
Thousands of lives have been sacrificed.
Your bosom has become a battlefield.
Every devoted soldier
Has become a hero.
You are prospering.
My life is always dedicated to you.
My love for you is embedded in my heart
A thousand and one times.
To preserve everything
And to honour her flag
All the youth are willing.
Great Land! Great Land!
Azerbaijan! Azerbaijan!
Azerbaijan! Azerbaijan!

Toggle website search"
bs,Bahamas,https://nationalanthems.info/bs.htm,1,"“March On, Bahamaland!” was selected as the winning entry in a national competition, and was adopted on independence July 10, 1973. Since Bahamas retains the British royal family as their head of state, their royal anthem, God Save the King, is used as the royal anthem of the Bahamas as well."
bh,Bahrain,https://nationalanthems.info/bh.htm,14,"Upon independence in 1971, Bahrain adopted the anthem “Bahrainona.” It is in the “Arab fanfare” style of anthem. The original lyrics by Mohamed Sudqi Ayyash were changed in 2002 when the country became a kingdom and the ruler became a king rather than an Emir.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

Title
“بحريننا” (Arabic (Arabic script)
“Bahrainona” (Arabic (Romanization))
“Our Bahrain” (English translation)

“بحريننا” (Arabic (Arabic script)
“Bahrainona” (Arabic (Romanization))
“Our Bahrain” (English translation)

Adopted
1971 (music)
2002 (current lyrics)

1971 (music)
2002 (current lyrics)

Sheet Music
Music only

Lyrics
Arabic lyrics (Arabic script)








Arabic lyrics (Romanization)











English translation
Our Bahrain
Our King
A symbol of the harmony
Its constitution is high in the place and the position
Its charter is the way of (method of) sharia, Arabism and the values
Long live the kingdom of Bahrain

Country of nobles
Cradle of peace
Its constitution is high in the place and the position
Its charter is the way of (method of) sharia, Arabism and the values
Long live the kingdom of Bahrain

Arabic lyrics (Arabic script)








Arabic lyrics (Romanization)











English translation
Our Bahrain
Our King
A symbol of the harmony
Its constitution is high in the place and the position
Its charter is the way of (method of) sharia, Arabism and the values
Long live the kingdom of Bahrain

Country of nobles
Cradle of peace
Its constitution is high in the place and the position
Its charter is the way of (method of) sharia, Arabism and the values
Long live the kingdom of Bahrain

Arabic lyrics (Arabic script)

Arabic lyrics (Romanization)

Our Bahrain
Our King
A symbol of the harmony
Its constitution is high in the place and the position
Its charter is the way of (method of) sharia, Arabism and the values
Long live the kingdom of Bahrain

Country of nobles
Cradle of peace
Its constitution is high in the place and the position
Its charter is the way of (method of) sharia, Arabism and the values
Long live the kingdom of Bahrain

Toggle website search"
bd,Bangladesh,https://nationalanthems.info/bd.htm,15,"“Amar Shonar Bangla” was written in 1906 during the British partitioning of Bengal, a time of great national unrest. The anthem was adopted in 1971 by the provisional government, and officially approved after independence on January 13, 1972. According to the constitution, the first ten lines of the original poem (the portion reproduced on the right) are official. The composer of the words and music for this anthem, a Nobel laureate for literature, also wrote the words and music to India‘s national anthem.

This work is licensed under CC BY 4.0. See our FAQ for details.

A


B


C

D E F
G H
I J
K L
M
N O
P Q R
Sa-Sk
Sl-Sz
T
U V
W Y Z
FAQ
Toggle website search

Title
“আমার সোনার বাংলা” (Bangla (Bengali script))
“Amar Shonar Bangla” (Bangla (Romanization))
“My Golden Bengal” (English translation)

“আমার সোনার বাংলা” (Bangla (Bengali script))
“Amar Shonar Bangla” (Bangla (Romanization))
“My Golden Bengal” (English translation)

Lyricist
রবীন্দ্রনাথ ঠাকুর (Rabindranath Tagore)

রবীন্দ্রনাথ ঠাকুর (Rabindranath Tagore)

Composer
রবীন্দ্রনাথ ঠাকুর (Rabindranath Tagore)

Sheet Music
Music only

Lyrics
Bangla lyrics (Bengali script))









Bangla lyrics (Romanization)









English translation
My Bengal of gold, I love you.
Forever your skies, your air set my heart in tune as if it were a flute.
In spring, O mother mine, the fragrance from your mango groves makes me wild with joy,
Ah, what a thrill!
In autumn, O mother mine, in the full blossomed paddy fields I have seen spread all over sweet smiles.
Ah, what beauty, what shades, what an affection, and what tenderness!
What a quilt have you spread at the feet of banyan trees and along the banks of rivers!
O mother mine, words from your lips are like nectar to my ears.
Ah, what a thrill!
If sadness, O mother mine, casts a gloom on your face, my eyes are filled with tears!

Bangla lyrics (Bengali script))









Bangla lyrics (Romanization)









English translation
My Bengal of gold, I love you.
Forever your skies, your air set my heart in tune as if it were a flute.
In spring, O mother mine, the fragrance from your mango groves makes me wild with joy,
Ah, what a thrill!
In autumn, O mother mine, in the full blossomed paddy fields I have seen spread all over sweet smiles.
Ah, what beauty, what shades, what an affection, and what tenderness!
What a quilt have you spread at the feet of banyan trees and along the banks of rivers!
O mother mine, words from your lips are like nectar to my ears.
Ah, what a thrill!
If sadness, O mother mine, casts a gloom on your face, my eyes are filled with tears!

Bangla lyrics (Bengali script))

Bangla lyrics (Romanization)

My Bengal of gold, I love you.
Forever your skies, your air set my heart in tune as if it were a flute.
In spring, O mother mine, the fragrance from your mango groves makes me wild with joy,
Ah, what a thrill!
In autumn, O mother mine, in the full blossomed paddy fields I have seen spread all over sweet smiles.
Ah, what beauty, what shades, what an affection, and what tenderness!
What a quilt have you spread at the feet of banyan trees and along the banks of rivers!
O mother mine, words from your lips are like nectar to my ears.
Ah, what a thrill!
If sadness, O mother mine, casts a gloom on your face, my eyes are filled with tears!

Toggle website search"
