,aspect_1:1 (Square),aspect_1:2,aspect_2:3,aspect_3:5,aspect_Extra Long,aspect_Other,aspect_Special (Nepal)
has_red,0.04168282292543273,0.08580220012605694,0.0186875001433375,-0.06168804082900825,0.02939814415373749,-0.10543046978048672,0.029398144153737482
has_blue,-0.10232070269756499,0.05450293796413901,-0.10770653489418713,-0.017306104235109893,-0.07216494845360827,0.13608891057609127,0.07142857142857147
has_green,-0.09720256643247982,-0.006391018764532802,0.08316637285590746,0.09449639163558814,-0.06855521914164173,-0.15119422661694087,-0.06855521914164173
has_yellow,0.08490483388919476,0.13459905228007835,-0.0397534280896878,-0.02318887201151099,-0.08608015923796264,-0.0855589415597132,-0.08608015923796265
has_white,0.06542356836828836,0.0631651004657849,-0.0742490091188983,-0.057074551025370464,0.04614206425950399,0.044103062155968036,0.04614206425950399
has_black,-0.05656165714704943,0.06780704277375615,0.0058504946019098504,-0.03242436903271528,-0.039891917909635526,-0.06855438024059808,0.12921512540294977
horizontal_stripes,-0.041097167560974035,0.039269131189409855,-0.03271382718460516,-0.005938219716647971,-0.10641102259284373,0.027146147276105037,0.04844083864301097
vertical_stripes,0.07533132670819677,0.018172949084971465,0.04608854651964952,-0.13325414771985572,0.05312982774275174,-0.00493533880443902,0.05312982774275172
cross,-0.011026917830489641,-0.10096110128116832,0.06761645326734657,0.035605455743492824,0.06443871681305556,0.004747394099132385,-0.07999288983689655
circle,-0.012724664963982198,-0.07636665631794483,0.05410358939780626,-0.04793531180296062,-0.008974476982721738,0.07669649888473706,-0.008974476982721738
star,-0.0068016195223868404,0.06315499952736321,0.0013771230947025616,-0.01024900077113484,-0.0767529556453337,-0.07174300539794383,0.06715883618966696
horizontal_symmetry,0.07912111027022811,-0.03768144415613169,-0.00483963566426635,-0.05294551627901839,0.062141685373611213,0.08367068905103897,-0.04914232239415723
vertical_symmetry,-0.12625798165997654,-0.041072350618069166,-0.0017667277449712451,0.11983097336486824,-0.12671837320345503,0.013826981524126052,-0.05264843460272149
