Design Element,Count,Percentage
Horizontal bands or stripes,134,68.71794871794872
Vertical bands or stripes,126,64.61538461538461
Contains a cross design,108,55.38461538461539
Contains an X-shaped cross or saltire,0,0.0
Has a distinct canton (upper hoist quarter),122,62.56410256410256
Contains a circle or disc,3,1.5384615384615385
Contains one or more stars,104,53.333333333333336
Contains a crescent moon,0,0.0
Contains a triangle,45,23.076923076923077
Contains a coat of arms or emblem,72,36.92307692307693
