country_code,country_name,region,colonial_history,width,height,aspect_ratio,hex_colors,color_percentages,unique_colors,most_common_color,has_red,has_blue,has_green,has_yellow,has_white,has_black,has_orange,has_purple,horizontal_symmetry,vertical_symmetry,horizontal_stripes,vertical_stripes,cross,saltire,canton,circle,star,crescent,triangle,emblem,aspect_ratio_category,horizontal_symmetry_level,vertical_symmetry_level,complexity_score
ad,ad,Unknown,Unknown,600,420,1.4285714285714286,"['#0018a7', '#d01039', '#fbdb02', '#be9f68', '#dd681e']","[0.32, 0.32233333333333336, 0.274, 0.06766666666666667, 0.016]",3,red,True,True,False,True,False,False,False,False,0.9546508247743541,0.4394587924058513,False,True,True,False,True,False,True,False,True,True,Other,High,Low,7
ae,United Arab Emirates,Middle East,British,600,300,2.0,"['#01843d', '#fefffe', '#c7102e', '#010101', '#ecefed']","[0.25, 0.222, 0.25, 0.25, 0.028]",4,white,True,False,True,False,True,True,False,False,0.8352941176470589,0.7418300653594772,True,True,True,False,True,False,False,False,False,False,1:2,Medium,Medium,7
af,af,Unknown,Unknown,600,400,1.5,"['#017936', '#d1291b', '#000000', '#648c76', '#e5887f']","[0.3045, 0.23016666666666666, 0.3025, 0.0535, 0.10933333333333334]",4,red,True,False,True,False,False,True,False,False,0.8920030718954248,0.4954939215686275,False,True,True,False,True,False,True,False,True,True,2:3,High,Low,8
ag,ag,Unknown,Unknown,600,400,1.5,"['#efc618', '#cc1226', '#030100', '#fefbfb', '#0e75c0']","[0.052, 0.5038333333333334, 0.25483333333333336, 0.07333333333333333, 0.116]",5,yellow,True,True,False,True,True,True,False,False,0.5813070588235294,0.9979056862745098,True,True,True,False,True,False,False,False,True,False,2:3,Low,High,8
al,al,Unknown,Unknown,600,428,1.4018691588785046,"['#fe0000', '#030000', '#720000', '#b70000', '#3c0000']","[0.8333333333333334, 0.092, 0.023666666666666666, 0.03, 0.021]",2,red,True,False,False,False,False,True,False,False,0.912596084539735,0.9974045262964999,False,False,True,False,False,False,True,False,False,False,Other,High,High,4
am,am,Unknown,Unknown,600,300,2.0,"['#0033a0', '#f2a800', '#d80012', '#113593', '#de9f0c']","[0.3, 0.31666666666666665, 0.3333333333333333, 0.03333333333333333, 0.016666666666666666]",3,blue,True,True,False,True,False,False,False,False,0.6026143790849674,1.0,True,False,True,False,True,False,False,False,False,False,1:2,Low,High,5
ao,ao,Unknown,Unknown,600,400,1.5,"['#f9c800', '#000000', '#cb092e', '#ce820a', '#604d00']","[0.030333333333333334, 0.4658333333333333, 0.479, 0.016166666666666666, 0.008666666666666666]",3,red,True,False,False,True,False,True,False,False,0.699107091503268,0.9605655882352941,True,True,False,False,True,False,True,False,True,False,2:3,Low,High,6
ar,Argentina,South America,Spanish,600,375,1.6,"['#74acdf', '#fdfefe', '#ddb989', '#d3911d', '#ebd9c5']","[0.6666666666666666, 0.29633333333333334, 0.01633333333333333, 0.011666666666666667, 0.009]",4,yellow,True,True,False,True,True,False,False,False,0.9894897417077347,0.9901127668845315,True,False,True,False,True,False,True,False,False,True,3:5,High,High,8
at,Austria,Europe,None,600,400,1.5,"['#fffeff', '#ed2938', '#ee3b49', '#feecef', '#ed2536']","[0.3, 0.6, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]",2,red,True,False,False,False,True,False,False,False,1.0,1.0,True,False,True,False,True,False,False,False,False,False,2:3,High,High,4
au,Australia,Oceania,British,600,300,2.0,"['#012169', '#f6f2f5', '#e40930', '#d198ae', '#455c91']","[0.7633333333333333, 0.09233333333333334, 0.08666666666666667, 0.028333333333333332, 0.029333333333333333]",4,blue,True,True,False,True,True,False,False,False,0.8028305882352942,0.7978038344226579,True,True,False,False,True,False,True,False,False,True,1:2,Medium,Medium,8
